scientific_name,birdnet_id,common_name_fr,common_name_en,is_bird,peak_share,mean_share,status,weekly
Uria aalge,BN15605,Guillemot marmette,Common Murre,1,0.401,0.337,resident,0.34 0.35 0.32 0.32 0.33 0.32 0.33 0.33 0.33 0.33 0.33 0.33 0.37 0.36 0.37 0.37 0.37 0.36 0.34 0.32 0.30 0.29 0.29 0.29 0.29 0.29 0.32 0.29 0.30 0.32 0.34 0.35 0.34 0.35 0.34 0.35 0.36 0.37 0.38 0.40 0.40 0.37 0.36 0.35 0.34 0.35 0.33 0.34
Porzana porzana,BN12052,Marouette ponctuée,Spotted Crake,1,0.71,0.335,mixed,0.02 0.02 0.02 0.03 0.03 0.04 0.05 0.09 0.19 0.29 0.47 0.66 0.69 0.71 0.71 0.68 0.65 0.60 0.51 0.42 0.35 0.33 0.30 0.30 0.29 0.30 0.31 0.33 0.37 0.42 0.47 0.54 0.59 0.61 0.64 0.65 0.63 0.56 0.42 0.31 0.17 0.10 0.06 0.04 0.03 0.03 0.02 0.02
Puffinus mauretanicus,BN12800,Puffin des Baléares,Balearic Shearwater,1,0.425,0.333,resident,0.26 0.25 0.24 0.23 0.22 0.21 0.21 0.21 0.22 0.23 0.25 0.30 0.35 0.36 0.37 0.38 0.39 0.39 0.39 0.39 0.29 0.28 0.28 0.27 0.32 0.36 0.38 0.38 0.39 0.40 0.40 0.42 0.42 0.42 0.42 0.42 0.42 0.42 0.42 0.41 0.41 0.39 0.37 0.30 0.28 0.28 0.27 0.27
Phalaropus fulicarius,BN11064,Phalarope à bec large,Red Phalarope,1,0.582,0.332,mixed,0.40 0.37 0.34 0.32 0.29 0.27 0.26 0.25 0.24 0.22 0.21 0.19 0.19 0.22 0.25 0.23 0.29 0.26 0.20 0.20 0.18 0.18 0.18 0.18 0.20 0.22 0.29 0.29 0.31 0.33 0.37 0.39 0.40 0.42 0.44 0.47 0.51 0.54 0.56 0.58 0.53 0.50 0.48 0.46 0.45 0.44 0.43 0.40
Sternula albifrons,BN14284,Sterne naine,Little Tern,1,0.724,0.331,summer,0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.03 0.06 0.10 0.19 0.29 0.37 0.54 0.58 0.69 0.72 0.69 0.70 0.69 0.68 0.66 0.66 0.68 0.68 0.69 0.67 0.68 0.69 0.69 0.66 0.61 0.47 0.40 0.32 0.26 0.22 0.18 0.12 0.06 0.03 0.02 0.01 0.01 0.01 0.01 0.01
Fulmarus glacialis,BN05722,Fulmar boréal,Northern Fulmar,1,0.369,0.33,resident,0.32 0.33 0.30 0.30 0.31 0.30 0.31 0.31 0.31 0.30 0.31 0.30 0.32 0.33 0.34 0.34 0.35 0.35 0.35 0.35 0.34 0.33 0.32 0.33 0.32 0.33 0.34 0.32 0.32 0.33 0.34 0.35 0.34 0.34 0.34 0.34 0.36 0.36 0.37 0.37 0.37 0.33 0.33 0.32 0.31 0.32 0.31 0.32
Hydroprogne caspia,BN06776,Sterne caspienne,Caspian Tern,1,0.598,0.329,summer,0.07 0.06 0.06 0.06 0.06 0.07 0.08 0.09 0.13 0.15 0.22 0.37 0.49 0.54 0.56 0.57 0.57 0.56 0.54 0.49 0.45 0.42 0.41 0.40 0.41 0.43 0.46 0.50 0.53 0.57 0.60 0.60 0.60 0.57 0.55 0.53 0.46 0.38 0.27 0.18 0.14 0.12 0.11 0.09 0.08 0.07 0.06 0.07
Sturnus unicolor,BN14407,Étourneau unicolore,Spotless Starling,1,0.388,0.329,resident,0.39 0.39 0.38 0.38 0.37 0.37 0.36 0.36 0.36 0.35 0.35 0.34 0.32 0.32 0.32 0.31 0.31 0.31 0.31 0.29 0.28 0.28 0.28 0.27 0.26 0.27 0.26 0.28 0.29 0.29 0.30 0.31 0.31 0.32 0.32 0.31 0.32 0.31 0.31 0.33 0.35 0.37 0.37 0.38 0.38 0.39 0.39 0.39
Stenella coeruleoalba,BN14248,Dauphin bleu-et-blanc,Striped Dolphin,0,0.393,0.325,resident,0.28 0.28 0.26 0.27 0.27 0.27 0.28 0.28 0.28 0.29 0.29 0.31 0.33 0.33 0.37 0.39 0.39 0.39 0.39 0.39 0.38 0.37 0.37 0.32 0.34 0.37 0.37 0.38 0.38 0.39 0.39 0.39 0.39 0.39 0.34 0.31 0.29 0.28 0.28 0.28 0.27 0.27 0.28 0.28 0.28 0.28 0.28 0.28
Myotis nattereri,BN09393,Murin de Natterer,Natterer's Bat,0,0.456,0.324,mixed,0.45 0.46 0.46 0.45 0.45 0.45 0.44 0.44 0.42 0.41 0.38 0.30 0.22 0.20 0.17 0.17 0.17 0.18 0.18 0.19 0.19 0.20 0.21 0.21 0.22 0.24 0.25 0.27 0.27 0.28 0.29 0.29 0.29 0.30 0.31 0.33 0.35 0.35 0.36 0.38 0.39 0.41 0.42 0.43 0.43 0.44 0.44 0.44
Mergellus albellus,BN08741,Harle piette,Smew,1,0.653,0.323,winter,0.64 0.65 0.65 0.64 0.64 0.63 0.63 0.61 0.57 0.55 0.51 0.45 0.35 0.27 0.20 0.16 0.12 0.11 0.09 0.06 0.05 0.04 0.04 0.04 0.04 0.03 0.04 0.03 0.04 0.04 0.04 0.05 0.05 0.06 0.09 0.11 0.20 0.30 0.41 0.48 0.53 0.57 0.60 0.60 0.62 0.63 0.63 0.63
Cecropis rufula,BN02539,Hirondelle rousseline,European Red-rumped Swallow,1,0.598,0.322,summer,0.06 0.06 0.07 0.07 0.09 0.11 0.12 0.14 0.20 0.26 0.31 0.42 0.49 0.55 0.58 0.60 0.59 0.57 0.55 0.53 0.52 0.51 0.51 0.49 0.47 0.46 0.44 0.44 0.42 0.43 0.43 0.45 0.45 0.43 0.41 0.38 0.36 0.34 0.28 0.23 0.16 0.11 0.09 0.08 0.06 0.05 0.05 0.05
Buteo lagopus,BN02016,Buse pattue,Rough-legged Buzzard,1,0.597,0.322,winter,0.59 0.60 0.60 0.59 0.59 0.59 0.58 0.57 0.55 0.53 0.51 0.47 0.44 0.39 0.30 0.22 0.17 0.11 0.06 0.04 0.03 0.03 0.02 0.02 0.02 0.02 0.02 0.02 0.03 0.03 0.03 0.03 0.04 0.06 0.09 0.13 0.30 0.42 0.47 0.52 0.55 0.57 0.59 0.58 0.59 0.59 0.59 0.59
Platycleis albopunctata,BN11634,Decticelle chagrinée,Grey Bush-cricket,0,0.768,0.32,summer,0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.01 0.02 0.07 0.15 0.20 0.25 0.34 0.43 0.51 0.56 0.61 0.65 0.67 0.68 0.71 0.73 0.74 0.75 0.75 0.76 0.77 0.76 0.74 0.72 0.70 0.66 0.59 0.43 0.26 0.11 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.00
Roeseliana roeselii,BN13390,Decticelle bariolée,Roesel's Bush-cricket,0,0.69,0.318,summer,0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.04 0.09 0.15 0.21 0.28 0.40 0.50 0.56 0.60 0.63 0.65 0.65 0.66 0.67 0.68 0.69 0.68 0.67 0.67 0.66 0.64 0.63 0.62 0.62 0.62 0.65 0.52 0.42 0.23 0.08 0.04 0.01 0.00 0.00 0.00 0.00 0.00
Plectrophenax nivalis,BN11687,Plectrophane des neiges,Snow Bunting,1,0.77,0.315,winter,0.75 0.76 0.74 0.72 0.70 0.67 0.61 0.55 0.46 0.39 0.30 0.24 0.19 0.17 0.14 0.12 0.10 0.08 0.07 0.04 0.02 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.02 0.05 0.06 0.10 0.14 0.18 0.23 0.31 0.45 0.55 0.64 0.71 0.74 0.76 0.77 0.77 0.76
Ardeola ralloides,BN01213,Crabier chevelu,Squacco Heron,1,0.653,0.314,summer,0.03 0.03 0.03 0.03 0.03 0.04 0.04 0.06 0.10 0.15 0.20 0.28 0.36 0.42 0.50 0.57 0.62 0.65 0.64 0.62 0.56 0.54 0.53 0.51 0.51 0.51 0.51 0.53 0.54 0.54 0.53 0.53 0.51 0.47 0.45 0.39 0.31 0.25 0.21 0.17 0.13 0.10 0.08 0.06 0.04 0.03 0.03 0.03
Bombycilla garrulus,BN01799,Jaseur boréal,Bohemian Waxwing,1,0.655,0.311,winter,0.64 0.65 0.65 0.64 0.65 0.65 0.64 0.63 0.61 0.58 0.57 0.48 0.36 0.27 0.22 0.16 0.11 0.07 0.04 0.03 0.02 0.01 0.01 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.01 0.03 0.03 0.06 0.12 0.18 0.32 0.47 0.56 0.59 0.61 0.63 0.64 0.65 0.65 0.65
